skill,category
Acceleration,Pace
SprintSpeed,Pace
Finishing,Shooting
LongShots,Shooting
Penalties,Shooting
Positioning,Shooting
ShotPower,Shooting
Volleys,Shooting
Crossing,Passing
Curve,Passing
FKAccuracy,Passing
LongPassing,Passing
ShortPassing,Passing
Vision,Passing
Agility,Dribbling
Balance,Dribbling
BallControl,Dribbling
Composure,Dribbling
Dribbling,Dribbling
Reactions,Dribbling
HeadingAccuracy,Defending
Interceptions,Defending
Marking,Defending
SlidingTackle,Defending
StandingTackle,Defending
Aggression,Power
Jumping,Power
Stamina,Power
Strength,Power
GKDiving,Goalkeeping
GKHandling,Goalkeeping
GKKicking,Goalkeeping
GKPositioning,Goalkeeping
GKReflexes,Goalkeeping
